machine,model,prompt_tag,temp,decode_tps,prefill_tps,ttft_ms,mem_mb,mem_method,ctx,ts,status
Mac,llama3.2:3b,short,0.0,192.23,743.11,159.2,3174.4,ollama-ps,8192,2026-06-30T17:43:37Z,ok
Mac,llama3.2:3b,medium,0.0,188.58,1614.8,147.2,3174.4,ollama-ps,8192,2026-06-30T17:43:38Z,ok
Mac,llama3.2:3b,long,0.0,180.83,4967.38,391.5,3174.4,ollama-ps,8192,2026-06-30T17:43:40Z,ok
Mac,llama3.2:3b,summarize,0.0,189.36,2922.61,158.4,3174.4,ollama-ps,8192,2026-06-30T17:43:41Z,ok
Mac,qwen2.5:7b,short,0.0,106.28,618.15,155.5,5222.4,ollama-ps,8192,2026-06-30T17:44:46Z,ok
Mac,qwen2.5:7b,medium,0.0,103.67,1331.47,139.7,5222.4,ollama-ps,8192,2026-06-30T17:44:49Z,ok
Mac,qwen2.5:7b,long,0.0,101.42,2416.2,678.3,5222.4,ollama-ps,8192,2026-06-30T17:44:52Z,ok
Mac,qwen2.5:7b,summarize,0.0,103.63,2179.98,152.5,5222.4,ollama-ps,8192,2026-06-30T17:44:53Z,ok
VeranixWindows,llama3.2:3b,short,0.0,87.06,135.61,3606.4,3174.4,ollama-ps,8192,2026-06-30T18:00:10Z,ok
VeranixWindows,llama3.2:3b,medium,0.0,84.65,562.69,3393.2,3174.4,ollama-ps,8192,2026-06-30T18:00:16Z,ok
VeranixWindows,llama3.2:3b,long,0.0,85.61,2681.37,3902.3,3174.4,ollama-ps,8192,2026-06-30T18:00:23Z,ok
VeranixWindows,llama3.2:3b,summarize,0.0,90.5,761.52,3568.7,3174.4,ollama-ps,8192,2026-06-30T18:00:28Z,ok
VeranixWindows,qwen2.5:7b,short,0.0,47.54,1121.67,3026.4,5120.0,ollama-ps,8192,2026-06-30T18:00:42Z,ok
VeranixWindows,qwen2.5:7b,medium,0.0,47.12,1659.61,3074.1,5120.0,ollama-ps,8192,2026-06-30T18:00:51Z,ok
VeranixWindows,qwen2.5:7b,long,0.0,45.54,1527.88,4045.6,5120.0,ollama-ps,8192,2026-06-30T18:01:01Z,ok
VeranixWindows,qwen2.5:7b,summarize,0.0,45.0,619.42,3367.7,5120.0,ollama-ps,8192,2026-06-30T18:01:07Z,ok
raspberrypi,llama3.2:3b,short,0.0,5.68,22.57,1918.1,3072.0,ollama-ps,8192,2026-06-30T17:50:50Z,ok
raspberrypi,llama3.2:3b,medium,0.0,5.53,13.92,5642.0,3072.0,ollama-ps,8192,2026-06-30T17:51:34Z,ok
raspberrypi,llama3.2:3b,long,0.0,3.32,6.98,205606.3,3072.0,ollama-ps,8192,2026-06-30T17:56:02Z,ok
raspberrypi,llama3.2:3b,summarize,0.0,5.09,11.79,12018.9,3072.0,ollama-ps,8192,2026-06-30T17:56:45Z,ok
raspberrypi,qwen2.5:7b,short,0.0,2.6,11.11,3865.5,4915.2,ollama-ps,8192,2026-06-30T18:01:47Z,ok
raspberrypi,qwen2.5:7b,medium,0.0,2.47,6.46,12329.6,4915.2,ollama-ps,8192,2026-06-30T18:03:44Z,ok
raspberrypi,qwen2.5:7b,long,0.0,2.01,4.03,356598.2,4915.2,ollama-ps,8192,2026-06-30T18:11:48Z,ok
raspberrypi,qwen2.5:7b,summarize,0.0,2.48,5.35,26977.8,4915.2,ollama-ps,8192,2026-06-30T18:13:12Z,ok
spark-8040,llama3.2:3b,short,0.0,93.27,2203.86,248.9,3174.4,ollama-ps,8192,2026-06-30T17:39:00Z,ok
spark-8040,llama3.2:3b,medium,0.0,92.84,3877.59,236.6,3174.4,ollama-ps,8192,2026-06-30T17:39:03Z,ok
spark-8040,llama3.2:3b,long,0.0,87.27,7175.03,439.2,3174.4,ollama-ps,8192,2026-06-30T17:39:06Z,ok
spark-8040,llama3.2:3b,summarize,0.0,93.62,5628.75,282.7,3174.4,ollama-ps,8192,2026-06-30T17:39:08Z,ok
spark-8040,qwen2.5:7b,short,0.0,46.4,1326.08,200.5,5222.4,ollama-ps,8192,2026-06-30T17:39:12Z,ok
spark-8040,qwen2.5:7b,medium,0.0,45.66,1999.85,218.5,5222.4,ollama-ps,8192,2026-06-30T17:39:18Z,ok
spark-8040,qwen2.5:7b,long,0.0,45.01,3427.83,597.5,5222.4,ollama-ps,8192,2026-06-30T17:39:24Z,ok
spark-8040,qwen2.5:7b,summarize,0.0,45.84,3016.5,253.6,5222.4,ollama-ps,8192,2026-06-30T17:39:28Z,ok
